coordinates_x,coordinates_y,depth,speed,timestamp,frontCam_w,frontCam_h,sideCam_w,sideCam_h
573,87,77,0.0000,2019.8.27.15.18.35,640,480,640,480
571,84,76,0.0000,2019.8.27.15.18.36,640,480,640,480
574,87,76,0.0000,2019.8.27.15.18.36,640,480,640,480
572,83,76,0.0000,2019.8.27.15.18.37,640,480,640,480
571,83,76,0.0000,2019.8.27.15.18.37,640,480,640,480
572,87,77,0.0000,2019.8.27.15.18.37,640,480,640,480
574,87,75,0.0000,2019.8.27.15.18.38,640,480,640,480
574,85,76,0.0000,2019.8.27.15.18.38,640,480,640,480
573,86,76,0.0000,2019.8.27.15.18.38,640,480,640,480
573,86,74,0.0000,2019.8.27.15.18.38,640,480,640,480
574,86,75,0.0000,2019.8.27.15.18.38,640,480,640,480
573,86,75,0.0000,2019.8.27.15.18.39,640,480,640,480
574,86,75,0.0000,2019.8.27.15.18.39,640,480,640,480
573,85,75,0.0000,2019.8.27.15.18.39,640,480,640,480
573,85,75,0.0000,2019.8.27.15.18.39,640,480,640,480
571,87,74,0.0000,2019.8.27.15.18.39,640,480,640,480
571,83,76,0.0000,2019.8.27.15.18.40,640,480,640,480
573,85,76,0.0000,2019.8.27.15.18.40,640,480,640,480
573,84,74,0.0000,2019.8.27.15.18.40,640,480,640,480
573,85,76,0.0000,2019.8.27.15.18.40,640,480,640,480
571,85,76,0.0000,2019.8.27.15.18.40,640,480,640,480
571,81,75,0.0000,2019.8.27.15.18.40,640,480,640,480
572,85,76,0.0000,2019.8.27.15.18.41,640,480,640,480
571,83,76,0.0000,2019.8.27.15.18.41,640,480,640,480
573,84,74,0.0000,2019.8.27.15.18.41,640,480,640,480
571,85,75,0.0000,2019.8.27.15.18.41,640,480,640,480
572,83,76,0.0000,2019.8.27.15.18.42,640,480,640,480
572,84,75,0.0000,2019.8.27.15.18.42,640,480,640,480
572,84,75,0.0000,2019.8.27.15.18.43,640,480,640,480
